店家帳號,上架時間,上架天數,itemID,商品標題,商品網址,總銷售件數,30天內銷售件數,售價,平均日銷(總銷件/上架天數),喜歡數,消費潛力(總銷件/喜歡數),評價數,評價綜合分數,給評率(幾個評價/總銷件),商品選項,商品api,商店api,店鋪名稱,選項售價,選項銷量
80232902,2019-06-14 16:24:52,642,2314665741,[星桌遊]矮人礦坑 妙探尋兇 桌遊 富饒之城 抵抗組織 開膛手 花火 水瓶座 狼人 德國小強阿瓦隆射鴨子 天黑請閉眼,http://shopee.tw/[星桌遊]矮人礦坑 妙探尋兇 桌遊 富饒之城 抵抗組織 開膛手 花火 水瓶座 狼人 德國小強阿瓦隆射鴨子 天黑請閉眼-i.80232902.2314665741,1533,44,"49,189",2.3878504672897196,655,2.3404580152671755,298,4.83557,0.1943900848010437,"經典 富饒之城（送暗黑擴充）,黃盒誰是牛頭王,矮人礦坑1,水瓶座 現貨一盒,情書一盒(超Q愛心喲),犯人在跳舞,超美第五人格,藍盒誰是牛頭王(二代),矮人礦坑1+2大盒版（支援12人玩）,矮人礦坑雙人決鬥,很久很久以前,通緝令 經典盒裝,正版狼人殺便攜版 經典盒裝,拍蒼蠅 經典盒裝,鋤大象,開膛手傑克 便攜版,找你妹 方盒實體版,神奇形色牌,經典 阿瓦隆(送擴展),經典 政變現貨一盒,折來折趣/黑白折學（100題兒童益智）,懲罰啤牌,Bang牌 纸牌版（繁体中文）,妙探尋兇（繁体中文）",https://shopee.tw/api/v2/item/get?itemid=2314665741&shopid=80232902,https://shopee.tw/api/v4/product/get_shop_info?shopid=80232902,星桌遊阿瓦隆矮人金礦誰是臥底卡卡頌富饒之城大富翁狼人殺三國殺小黑屋犯罪現場,"119.0,89.0,79.0,99.0,99.0,89.0,99.0,99.0,189.0,99.0,129.0,99.0,99.0,99.0,89.0,99.0,99.0,99.0,99.0,119.0,99.0,49.0,99.0,159.0","185,90,57,64,84,180,48,59,124,22,57,24,79,32,24,36,33,18,183,32,45,11,52,44"
59509357,2020-04-23 18:10:55,328,6031176364,【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌,http://shopee.tw/【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌-i.59509357.6031176364,6987,199,"99,99",21.301829268292682,1807,3.8666297731045933,1833,4.92144,0.2623443537999141,"基礎版綠盒(贈頭帶*8、空白卡*8、筆),擴充版黃盒(可獨立玩 贈頭帶、卡、筆),🐺狼人殺基礎版🐺",https://shopee.tw/api/v2/item/get?itemid=6031176364&shopid=59509357,https://shopee.tw/api/v4/product/get_shop_info?shopid=59509357,七七市集 - 好物嚴選 ； 買東西找七七,"99.0,99.0,99.0","3788,2957,62"
228714135,2021-01-07 19:34:54,69,4474036673,【台灣出貨 免運費】對戰遊戲 彈跳球 趣味彈跳球  彈跳力度大挑戰 益智趣味桌遊 彈跳球遊戲組 對戰跳跳球 桌遊 親子,http://shopee.tw/【台灣出貨 免運費】對戰遊戲 彈跳球 趣味彈跳球  彈跳力度大挑戰 益智趣味桌遊 彈跳球遊戲組 對戰跳跳球 桌遊 親子-i.228714135.4474036673,511,35,"168,168",7.405797101449275,345,1.481159420289855,245,4.902041,0.4794520547945205,趣味彈跳球【1組】,https://shopee.tw/api/v2/item/get?itemid=4474036673&shopid=228714135,https://shopee.tw/api/v4/product/get_shop_info?shopid=228714135,✨WHALEのMART - 鯨選館✨,168.0,511
25886973,2021-02-09 11:52:23,36,5479172260,🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊,http://shopee.tw/🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊-i.25886973.5479172260,45,23,"880,880",1.25,101,0.44554455445544555,23,4.913043,0.5111111111111111,,https://shopee.tw/api/v2/item/get?itemid=5479172260&shopid=25886973,https://shopee.tw/api/v4/product/get_shop_info?shopid=25886973,嚇嚇情趣用品店(shotshotshop),880.0,45
131309504,2020-04-14 18:47:57,337,4327792587,台灣現貨秒出 阿瓦隆 繁體版 經典桌遊 狼人殺 桌遊 聚會必備 旅行 派對 團康 陳零九 多人遊戲 邏輯,http://shopee.tw/台灣現貨秒出 阿瓦隆 繁體版 經典桌遊 狼人殺 桌遊 聚會必備 旅行 派對 團康 陳零九 多人遊戲 邏輯-i.131309504.4327792587,1687,3,"19,19",5.005934718100891,593,2.8448566610455313,514,4.92607,0.30468286899822167,"阿瓦隆繁體中文擴充版,防刮牌套（不含卡牌） 100片裝,不透光防作弊眼罩",https://shopee.tw/api/v2/item/get?itemid=4327792587&shopid=131309504,https://shopee.tw/api/v4/product/get_shop_info?shopid=131309504,⚡️Mr.CP ⚡️,"99.0,19.0,19.0","1142,435,110"
28893170,2021-02-03 11:55:18,42,8813163592,神吐槽【瘋桌遊】過年派對必備桌遊│party、桌遊、歡樂、想像力│繁體中文唯一正版授權,http://shopee.tw/神吐槽【瘋桌遊】過年派對必備桌遊│party、桌遊、歡樂、想像力│繁體中文唯一正版授權-i.28893170.8813163592,113,47,"199,199",2.6904761904761907,50,2.26,71,4.985915,0.6283185840707964,,https://shopee.tw/api/v2/item/get?itemid=8813163592&shopid=28893170,https://shopee.tw/api/v4/product/get_shop_info?shopid=28893170,瘋桌遊官方商城,199.0,113
136218923,2019-09-13 11:39:52,551,2813268407,德國心臟病 豪華鐵盒版 桌遊 反應,http://shopee.tw/德國心臟病 豪華鐵盒版 桌遊 反應-i.136218923.2813268407,1367,71,"100,100",2.4809437386569875,545,2.508256880733945,620,4.925806,0.45354791514264814,"德國心臟病鐵盒版,德國心臟病鐵盒NG版(鐵盒凹紙牌正常)",https://shopee.tw/api/v2/item/get?itemid=2813268407&shopid=136218923,https://shopee.tw/api/v4/product/get_shop_info?shopid=136218923,阿咪仔 寵物市集 寵物用品專賣店,"100.0,80.0","1015,49"
75612907,2019-07-02 18:06:12,624,2380890861,現貨阿瓦隆害你在心口難開化妝舞會你咬我啊大富翁富饒之城政變花火水瓶座 誰是牛頭王一夜終極狼人矮人礦坑拍蒼蠅 情書 鋤大象,http://shopee.tw/現貨阿瓦隆害你在心口難開化妝舞會你咬我啊大富翁富饒之城政變花火水瓶座 誰是牛頭王一夜終極狼人矮人礦坑拍蒼蠅 情書 鋤大象-i.75612907.2380890861,2913,11,"66,275",4.668269230769231,622,4.683279742765273,605,4.813223,0.20768966700995536,"阿瓦隆 繁體 送蘭羅斯特擴充2020新貨,政变  中英文（2020新貨）,抵抗組織 簡體,驚濤駭浪（怒海求生 ）簡體,花火 繁體,偉人猜拳戰略 繁體,黃盒誰是牛頭王 繁體,水瓶座/花花世界  繁體,紅盒德國小強 繁體,犯人在跳舞  繁體,富饒之城 繁體,情書 簡體,矮人金礦 中英文,矮人金礦1+2大盒 中英文,矮人金礦 雙人決鬥 中英文,大鈴鐺豪華德國心臟病 簡體,拍蒼蠅  繁體,種豆得金 英文 ,中盒寶石商人 簡體,官方正版便攜三國殺+狼人殺（基礎版 簡）,折來折趣 /黑白折學（兒童益智）,大富翁加強版（繁體中英文）,你咬我啊（who怕who）簡體,妙探尋兇/疑犯大搜查 繁體,丑娃娃 繁体中英,化妝舞會基礎（繁體）,化妝舞會擴充（繁體）,不在場證明 繁體,鋤大象（瘋狂動物園） 繁體,一夜終極狼人 4合1版（繁體）,一夜終極狼人 基礎版（繁體）,9 超級犀牛（簡體）,害你在心口難開（現貨 黃盒抖音同款）,害你在心口難開（白方盒 升級魔術扣頭帶）,害你在心口難開（黃盒 詞彙擴充）",https://shopee.tw/api/v2/item/get?itemid=2380890861&shopid=75612907,https://shopee.tw/api/v4/product/get_shop_info?shopid=75612907,黑匣子-遊戲人生,"85.0,114.0,95.0,95.0,95.0,123.0,76.0,85.0,66.0,85.0,114.0,95.0,85.0,180.0,114.0,161.0,114.0,142.0,190.0,190.0,95.0,95.0,180.0,123.0,95.0,190.0,190.0,123.0,85.0,275.0,123.0,133.0,152.0,190.0,152.0","434,98,34,73,84,62,332,120,194,298,246,72,107,145,13,38,47,14,32,66,13,28,33,40,38,122,54,43,29,24,36,17,26,11,1"
63673992,2020-05-02 13:15:23,319,4432311489,【台灣公司現貨_快速出貨】桌遊 FOOSBALL碰碰棋 彈彈棋 彈射棋 親子互動棋  桌面足球 親子遊戲 防疫宅家桌遊,http://shopee.tw/【台灣公司現貨_快速出貨】桌遊 FOOSBALL碰碰棋 彈彈棋 彈射棋 親子互動棋  桌面足球 親子遊戲 防疫宅家桌遊-i.63673992.4432311489,331,14,"200,200",1.0376175548589341,336,0.9851190476190477,135,4.881481,0.4078549848942598,小款36.5x21.5cm,https://shopee.tw/api/v2/item/get?itemid=4432311489&shopid=63673992,https://shopee.tw/api/v4/product/get_shop_info?shopid=63673992,快樂城 #扭蛋機 #扭蛋批發 #錢道 #投幣器 #扭蛋殼#蛋殼,200.0,242
6587002,2020-09-29 10:53:11,169,6854873102,大力士疊疊高 平衡積木 疊疊樂 親子桌遊 多人桌遊 大力士,http://shopee.tw/大力士疊疊高 平衡積木 疊疊樂 親子桌遊 多人桌遊 大力士-i.6587002.6854873102,267,22,"99,125",1.5798816568047338,209,1.277511961722488,93,4.903226,0.34831460674157305,"封面款/盒裝16PES ,馬戲團款/盒裝16PES ,歌舞匯款/盒裝16PES ,德國心臟病",https://shopee.tw/api/v2/item/get?itemid=6854873102&shopid=6587002,https://shopee.tw/api/v4/product/get_shop_info?shopid=6587002,THIS SHOP 生活館,"99.0,99.0,99.0,125.0","206,20,24,0"
