店家帳號,上架時間,上架天數,itemID,商品標題,商品網址,總銷售件數,30天內銷售件數,售價,平均日銷(總銷件/上架天數),喜歡數,消費潛力(總銷件/喜歡數),評價數,評價綜合分數,給評率(幾個評價/總銷件),商品選項,商品api,商店api,店鋪名稱,選項售價,選項銷量
274587685,2021-02-09 12:56:51,36,8214488816,【PTCG】寶可夢中文版 莉莉艾 普卡 AC2D 173 支援者,http://shopee.tw/【PTCG】寶可夢中文版 莉莉艾 普卡 AC2D 173 支援者-i.274587685.8214488816,0,0,"5,5",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=8214488816&shopid=274587685,https://shopee.tw/api/v4/product/get_shop_info?shopid=274587685,★KK小鋪★,6.87361,0
6777510,2020-04-08 23:13:58,343,4225586701,日文PR卡 觀光客 卡希麗 莉莉艾 空木  prmo卡 PR 寶可夢 日本代購 PTCG 需要約2個禮拜左右,http://shopee.tw/日文PR卡 觀光客 卡希麗 莉莉艾 空木  prmo卡 PR 寶可夢 日本代購 PTCG 需要約2個禮拜左右-i.6777510.4225586701,2,0,"150,250",0.0058309037900874635,0,0.0,1,5.0,0.5,"觀光客,愛好,卡希麗,彼得,阿杏,赤紅,登山客,莉莉艾,空木",https://shopee.tw/api/v2/item/get?itemid=4225586701&shopid=6777510,https://shopee.tw/api/v4/product/get_shop_info?shopid=6777510,玩具牧場 寶可夢 magic 桌遊 日本代購專營店,"233.22525,209.92479,263.10411,185.45061,277.34287,210.09867,179.25964,287.17744,156.00157","0,0,1,0,0,0,0,1,0"
211871908,2021-02-08 02:24:07,38,8214216238,【艾斯】神奇寶貝 寶可夢 PTCG正版 莉莉艾的皮皮玩偶 247/196 ur,http://shopee.tw/【艾斯】神奇寶貝 寶可夢 PTCG正版 莉莉艾的皮皮玩偶 247/196 ur-i.211871908.8214216238,0,0,"1200,1200",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=8214216238&shopid=211871908,https://shopee.tw/api/v4/product/get_shop_info?shopid=211871908,m29410505,1362.97742,0
10614325,2021-02-25 23:47:45,20,8018046749,[幻想卡鋪] PTCG 中文版 As6a 195 莉莉艾 TR 支援者,http://shopee.tw/[幻想卡鋪] PTCG 中文版 As6a 195 莉莉艾 TR 支援者-i.10614325.8018046749,0,0,"35,35",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=8018046749&shopid=10614325,https://shopee.tw/api/v4/product/get_shop_info?shopid=10614325,[幻想卡鋪] 專賣魔法風雲會 寶可夢,46.60104,0
6219292,2020-04-11 13:24:04,340,5626384361,PTCG 中文版 寶可夢 傳說交鋒 莉莉艾的全力 普卡,http://shopee.tw/PTCG 中文版 寶可夢 傳說交鋒 莉莉艾的全力 普卡-i.6219292.5626384361,2,0,"100,100",0.0058823529411764705,0,0.0,1,5.0,0.5,,https://shopee.tw/api/v2/item/get?itemid=5626384361&shopid=6219292,https://shopee.tw/api/v4/product/get_shop_info?shopid=6219292,WELL 賣場,128.35423,4
12190680,2021-02-18 19:51:52,27,8016041743,寶可夢  神奇寶貝 PTCG 中文  莉莉艾  卡號隨機,http://shopee.tw/寶可夢  神奇寶貝 PTCG 中文  莉莉艾  卡號隨機-i.12190680.8016041743,0,0,"30,30",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=8016041743&shopid=12190680,https://shopee.tw/api/v4/product/get_shop_info?shopid=12190680,maxx8,58.66705,0
56836928,2020-03-21 23:37:42,361,6220564052,PTCG 竹蘭 裁判 馬志士 瑪奧 莉莉艾 球爺赤紅 天空之柱 以太 破鎮 觀光客 三重加速 電次 露莎米奈 菱形渡,http://shopee.tw/PTCG 竹蘭 裁判 馬志士 瑪奧 莉莉艾 球爺赤紅 天空之柱 以太 破鎮 觀光客 三重加速 電次 露莎米奈 菱形渡-i.56836928.6220564052,6,0,"10,30",0.01662049861495845,0,0.0,1,5.0,0.16666666666666666,"菱形 渡,赤紅,天空之柱,以太樂園,露莎米奈,電次,觀光客,莉莉艾,竹蘭,裁判,球爺,瑪奧",https://shopee.tw/api/v2/item/get?itemid=6220564052&shopid=56836928,https://shopee.tw/api/v4/product/get_shop_info?shopid=56836928,sernate,"95.80694,18.62515,17.1731,11.83525,52.15188,18.57903,18.04216,11.03202,21.03622,16.05582,15.18197,14.57508","0,0,0,4,0,6,0,0,0,0,0,0"
274587685,2021-02-03 10:46:35,42,7378855148,【PTCG】寶可夢中文版 支援者 莉莉艾 TR As6a 195 閃卡,http://shopee.tw/【PTCG】寶可夢中文版 支援者 莉莉艾 TR As6a 195 閃卡-i.274587685.7378855148,0,0,"30,30",0.0,1,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7378855148&shopid=274587685,https://shopee.tw/api/v4/product/get_shop_info?shopid=274587685,★KK小鋪★,33.64637,0
7354960,2020-06-17 18:36:25,273,7938428962,寶可夢 瑪奧 水蓮 莉莉艾 PTCG卡墊  桌墊 牌墊  桌遊墊+送收納袋 60X35,http://shopee.tw/寶可夢 瑪奧 水蓮 莉莉艾 PTCG卡墊  桌墊 牌墊  桌遊墊+送收納袋 60X35-i.7354960.7938428962,0,0,"380,380",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7938428962&shopid=7354960,https://shopee.tw/api/v4/product/get_shop_info?shopid=7354960,kokia110,477.1845,0
96951421,2021-02-24 19:21:18,21,8617651060,PTCG卡墊 牌墊 莉莉艾主題 600x350x1.5  DIY寵物小精靈 單人墊 雙人墊 對戰墊子#931—勒真家居s,http://shopee.tw/PTCG卡墊 牌墊 莉莉艾主題 600x350x1.5  DIY寵物小精靈 單人墊 雙人墊 對戰墊子#931—勒真家居s-i.96951421.8617651060,0,0,"205,471",0.0,0,0.0,0,0.0,0.0,"墊子同款主題收納袋,墊子一張",https://shopee.tw/api/v2/item/get?itemid=8617651060&shopid=96951421,https://shopee.tw/api/v4/product/get_shop_info?shopid=96951421,勒真家居store,"321.49327,704.8069","0,0"
30589016,2020-12-01 23:21:19,106,7867099161,PTCG 寶可夢 莉莉艾,http://shopee.tw/PTCG 寶可夢 莉莉艾-i.30589016.7867099161,0,0,"50,50",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7867099161&shopid=30589016,https://shopee.tw/api/v4/product/get_shop_info?shopid=30589016,ninetwobaby92,94.7579,0
56047399,2019-12-21 10:48:45,452,7912251352,[PTCG 第二彈 A盒]脫殼忍者 寶可夢 卡牌 中文版 古茲馬、莉莉艾、阿塞蘿拉、GX卡在商場其他頁面,http://shopee.tw/[PTCG 第二彈 A盒]脫殼忍者 寶可夢 卡牌 中文版 古茲馬、莉莉艾、阿塞蘿拉、GX卡在商場其他頁面-i.56047399.7912251352,0,0,"49,49",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7912251352&shopid=56047399,https://shopee.tw/api/v4/product/get_shop_info?shopid=56047399,物品出清小攤位,60.86361,0
24972419,2020-08-23 22:36:05,206,7848423378,[大蘋果]寶可夢中文版 莉莉艾 195/196TR  閃卡 Pokemon PTCG,http://shopee.tw/[大蘋果]寶可夢中文版 莉莉艾 195/196TR  閃卡 Pokemon PTCG-i.24972419.7848423378,0,0,"50,50",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7848423378&shopid=24972419,https://shopee.tw/api/v4/product/get_shop_info?shopid=24972419,calmly,62.32553,0
5511317,2020-07-04 22:36:33,256,7840847105,pokemon ptcg 竹蘭 莉莉艾 古茲馬 阿塞蘿拉 人物卡,http://shopee.tw/pokemon ptcg 竹蘭 莉莉艾 古茲馬 阿塞蘿拉 人物卡-i.5511317.7840847105,0,0,"49,49",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7840847105&shopid=5511317,https://shopee.tw/api/v4/product/get_shop_info?shopid=5511317,戰鬥陀螺和Ptcg,97.54086,0
923808,2020-02-20 00:38:32,392,6317446380,PTCG 實用人物卡 吉憲 古茲馬 莉佳 莉莉艾 庫庫伊 阿賽蘿拉 裁判 電次 竹蘭,http://shopee.tw/PTCG 實用人物卡 吉憲 古茲馬 莉佳 莉莉艾 庫庫伊 阿賽蘿拉 裁判 電次 竹蘭-i.923808.6317446380,2,0,"15,50",0.00510204081632653,0,0.0,1,5.0,0.5,"吉憲,古茲馬,莉佳,莉莉艾,庫庫伊,裁判,竹蘭,電次,阿塞羅拉",https://shopee.tw/api/v2/item/get?itemid=6317446380&shopid=923808,https://shopee.tw/api/v4/product/get_shop_info?shopid=923808,yuyan0914,"13.35513,30.38558,93.33225,17.36969,21.50061,30.53394,46.75982,39.32329,28.17317","0,0,0,0,0,0,0,0,2"
38699191,2021-03-16 08:41:56,1,9426522196,PTCG 出清 寶可夢卡牌 普 or 閃 中文 支援者  莉莉艾 電次  赤紅的挑戰 正輝的解析,http://shopee.tw/PTCG 出清 寶可夢卡牌 普 or 閃 中文 支援者  莉莉艾 電次  赤紅的挑戰 正輝的解析-i.38699191.9426522196,0,0,"5,25",0.0,0,0.0,0,0.0,0.0,"裁判,千金小姐,馬志士的作戰,板木的驅逐,楓與南-閃卡,正輝的解析,馬睿因,成也.大木,娜姿的暗示,大吾的決斷-閃卡,夏伯的一決勝負-閃卡,庫庫伊博士,莉莉艾,哈烏,莉佳的款待,莉佳的款待-閃卡,赤紅的挑戰,赤紅的挑戰-閃卡,古茲馬,茉莉,電次,電次-閃卡,寶可夢發燒友俱樂部",https://shopee.tw/api/v2/item/get?itemid=9426522196&shopid=38699191,https://shopee.tw/api/v4/product/get_shop_info?shopid=38699191,魚販X市集 ,"12.97935,6.60553,19.2143,20.17554,18.34934,18.59151,11.30384,20.02861,21.9925,13.76796,8.88222,29.77439,13.96137,14.83808,18.28017,16.60845,16.18149,19.29666,17.12289,19.38904,25.06276,13.53474,19.92287","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
99838696,2019-12-27 02:50:10,447,7713009247,《Mii》寶可夢  PTCG  水蓮+莉莉艾+複製貓,http://shopee.tw/《Mii》寶可夢  PTCG  水蓮+莉莉艾+複製貓-i.99838696.7713009247,0,0,"40,40",0.0,1,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7713009247&shopid=99838696,https://shopee.tw/api/v4/product/get_shop_info?shopid=99838696,Mii Garage  陀螺收納庫,72.6019,0
50844441,2020-08-16 13:55:39,213,7647070266,玩卡 ptcg as6a 195 莉莉艾TR,http://shopee.tw/玩卡 ptcg as6a 195 莉莉艾TR-i.50844441.7647070266,0,0,"50,50",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7647070266&shopid=50844441,https://shopee.tw/api/v4/product/get_shop_info?shopid=50844441,gpoa0514,63.83537,0
532456,2020-02-22 19:50:10,389,7917664899,PTCG中文版 莉莉艾 各彈 眾星雲集 美夢成真 雙倍爆擊,http://shopee.tw/PTCG中文版 莉莉艾 各彈 眾星雲集 美夢成真 雙倍爆擊-i.532456.7917664899,0,0,"10,10",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7917664899&shopid=532456,https://shopee.tw/api/v4/product/get_shop_info?shopid=532456,tonglin1121,12.26604,0
